UPZ y Localidad,Sin estrato *,1. Bajo - bajo,2. Bajo,3. Medio - bajo,4. Medio,5. Medio - Alto,6. Alto,Latitud,Longitud,Habitantes por km²,Población con ajuste por omisión 2018,Estrato 1 Año 2018,Estrato 2 año 2018,Estrato 3 año 2018,Estrato 4 Año 2018,Estrato 5 año 2018,Estrato 6 Año 2018,Paquetes por UPZ,Precio promedio por m² por UPZ,Paquetes/Precio
28 El Rincón ,775,2.574,176.129,130.877,0,0,435,4.725,-74.089,49550,269.970,2909,152996,113687,0,0,378,1036001,1714265,"0,6043409"
29 Minuto de Dios,708,4.324,48.167,95.947,0,0,0,4.697,-74.090,41397,108.372,3656,34999,69717,0,0,0,457237,1804785,"0,2533469"
30 Boyacá Real,37,0,0,120.329,0,0,0,4.686,-74.099,30800,124.631,38,0,124593,0,0,0,623002,1999693,"0,3115488"
31 Santa Cecilia,27,0,0,42.004,22.541,0,0,4.677,-74.111,23876,65.541,27,0,42634,22879,0,0,350475,2697748,"0,1299138"
32 San Blas,444,15.884,79.324,0,0,0,0,4.567,-74.085,22307,92.033,15710,76323,0,0,0,0,244679,1414649,"0,1729606"
33 Sosiego,974,0,11.198,34.977,0,0,0,4.578,-74.086,19589,41.748,862,9915,30970,0,0,0,185460,1860591,"0,0996779"
34 20 de Julio,159,0,66.320,24.985,0,0,0,4.571,-74.094,33885,77.264,134,56024,21106,0,0,0,273735,1635715,"0,1673491"
35 Ciudad Jardín,12,0,5.090,25.773,0,0,0,4.566,-74.083,23826,24.590,10,4054,20527,0,0,0,114804,1917182,"0,0598817"
36 San José,2.329,0,715,45.722,0,0,0,4.566,-74.100,21844,45.500,2173,667,42660,0,0,0,217474,1944910,"0,1118168"
37 Santa Isabel,54,0,0,45.156,0,0,0,4.601,-74.101,21798,37.697,45,0,37652,0,0,0,188305,1998806,"0,0942087"
38 Restrepo,2.626,0,0,74.649,0,0,0,4.585,-74.101,21949,53.439,1816,0,51623,0,0,0,259931,1966017,"0,1322120"
39 Quiroga,515,0,0,84.985,0,0,0,4.576,-74.114,22466,86.630,522,0,86108,0,0,0,431063,1993977,"0,2161825"
40 Ciudad Montes,187,0,0,106.192,0,0,0,4.602,-74.115,20272,98.854,174,0,98680,0,0,0,493575,1998242,"0,2470046"
41 Muzú,94,0,0,56494,0,0,0,4.597,-74.131,20455,56.144,93,0,56051,0,0,0,280347,1998339,"0,1402900"
42 Venecia,1.427,0,62.458,80.548,0,0,0,4.595,-74.142,20978,129.592,1280,56040,72271,0,0,0,530758,1773902,"0,2992037"
43 San Rafael,2.002,0,0,74.522,0,0,0,4.621,-74.114,20713,71.634,1874,0,69760,0,0,0,350674,1973838,"0,1776608"
44 Américas,100,0,12.064,63.247,9.100,0,0,4.626,-74.101,27031,79.948,95,11413,59832,8609,0,0,385145,2142798,"0,1797393"
45 Carvajal,977,0,21.412,71.673,0,0,0,4.613,-74.138,29343,89.424,929,20356,68139,0,0,0,402692,1875795,"0,2146782"
46 Castilla,67,0,28.014,101.091,0,0,0,4.640,-74.143,26833,139.458,72,30245,109141,0,0,0,636511,1891044,"0,3365924"
47 Kennedy Central,634,0,0,92.785,0,0,0,4.623,-74.154,39183,93.567,635,0,92932,0,0,0,465295,1993213,"0,2334396"
48 Timiza,214,0,40.849,106.461,0,0,0,4.609,-74.161,41244,139.759,203,38699,100857,0,0,0,620586,1860101,"0,3336305"
49 Apogeo,320,0,20.086,83.602,0,0,0,4.601,-74.164,25158,35.798,110,6913,28775,0,0,0,164723,1900363,"0,0866797"
50 La Gloria,299,4.362,97.308,0,0,0,0,4.541,-74.087,25293,95.220,4353,90867,0,0,0,0,276955,1477145,"0,1874934"
51 Los Libertadores,120,10.390,63.237,0,0,0,0,4.533,-74.089,19023,72.955,10397,62558,0,0,0,0,198071,1428743,"0,1386329"
52 La Flora,225,18.847,0,0,0,0,0,4.507,-74.089,8269,18.988,18988,0,0,0,0,0,18988,1000000,"0,0189880"
53 Marco Fidel Suárez,7,0,48.329,16.907,0,0,0,4.567,-74.123,33692,47.434,5,35137,12292,0,0,0,166876,1629516,"0,1024082"
54 Marruecos,3.414,8.458,85.560,871,0,0,0,4.554,-74.112,25345,109.949,13278,95696,974,0,0,0,305238,1444045,"0,2113773"
55 Diana Turbay,389,27.852,51.783,0,0,0,0,4.533,74.100,33844,76.056,26841,49215,0,0,0,0,174487,1323547,"0,1318326"
56 Danubio,2.645,19.388,16.032,0,0,0,0,4.546,-74.121,12817,49.727,28783,20944,0,0,0,0,91614,1210587,"0,0756777"
57 Gran Yomasa,649,19.823,121.526,0,0,0,0,4.508,-74.111,22573,123.947,17870,106077,0,0,0,0,336102,1427914,"0,2353795"
58 Comuneros,264,44.151,45.356,0,0,0,0,4.498,-74.109,16200,91.191,45118,46073,0,0,0,0,183338,1252621,"0,1463635"
59 Alfonso López,87,58.386,0,0,0,0,0,4.498,-74.102,29169,48.994,48994,0,0,0,0,0,48994,1000000,"0,0489940"
60 Parque Entrenubes,782,1.277,0,0,0,0,0,4.519,-74.094,552,1.093,1093,0,0,0,0,0,1093,1000000,"0,0010930"
61 Ciudad Usme,294,5.948,7.845,0,0,0,0,4.473,-74.111,1363,23.770,10533,13237,0,0,0,0,50245,1278448,"0,0393014"
62 Tunjuelito,1.166,0,53.357,3.054,0,0,0,4.562,-74.127,15602,38.751,785,35911,2055,0,0,0,118794,1516395,"0,0783400"
63 El Mochuelo,69,1.470,0,0,0,0,0,4.533,74.133,471,30,30,0,0,0,0,0,30,1000000,"0,0000300"
64 Monte Blanco,28,5.546,0,0,0,0,0,4.500,-74.116,677,5.031,5031,0,0,0,0,0,5031,1000000,"0,0050310"
65 Arborizadora,246,0,44.053,17.029,0,0,0,4.582,-74.149,23460,74.994,301,53870,20824,0,0,0,266028,1636830,"0,1625262"
66 San Francisco,25,9.321,67.205,0,0,0,0,4.566,-74.147,51438,66.469,8115,58354,0,0,0,0,183177,1438956,"0,1272984"
67 Lucero,557,132.551,32.138,0,0,0,0,4.550,-74.149,32167,143.953,115956,27997,0,0,0,0,199947,1097243,"0,1822264"
68 El Tesoro,875,44.216,3.415,0,0,0,0,4.538,-74.143,25848,47.419,44081,3338,0,0,0,0,54096,1035202,"0,0522564"
69 Ismael Perdomo,2.938,82.329,77.325,5.349,0,0,0,4.588,-74.170,32417,151.720,77031,69856,4832,0,0,0,310762,1262065,"0,2462330"
70 Jerusalén,2.882,89.973,8.658,0,0,0,0,4.574,-74.158,20163,92.950,85022,7928,0,0,0,0,108805,1042645,"0,1043551"
